DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3160169;1;3;1; ; ; ; ;03;1049,91886682939
3160169;1;4;1; ; ; ; ;03;1049,91886682939
3160169;1;5;2;6; ; ; ;03;1049,91886682939
3160169;1;6;2;6; ; ; ;03;1049,91886682939
3160170;1;1;2;6; ; ; ;03;711,40606720172
3160170;1;2;1; ; ; ; ;03;711,40606720172
3160171;1;1;1; ; ; ; ;03;866,478362941389
3160171;1;2;2;6; ; ; ;03;866,478362941389
3160171;1;3;1; ; ; ; ;03;866,478362941389
3160172;1;1;1; ; ; ; ;03;1066,94219603677
3160172;1;2;1; ; ; ; ;03;1066,94219603677
3160173;1;1;2;6; ; ; ;03;821,488443795952
3160173;1;2;1; ; ; ; ;03;821,488443795952
3160174;1;1;1; ; ; ; ;03;567,545244516906
3160175;1;1;2;6; ; ; ;03;509,707871226
3160176;1;1;1; ; ; ; ;03;676,781528879002
3160176;1;2;1; ; ; ; ;03;676,781528879002
3160176;1;3;1; ; ; ; ;03;676,781528879002
3160177;1;1;1; ; ; ; ;03;581,250595539577
