DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3139246;1;4;1; ; ; ; ;02;173,475081284123
3139247;1;1;2;6; ; ; ;02;132,914309191656
3139247;1;2;2;6; ; ; ;02;132,914309191656
3139247;1;3;1; ; ; ; ;02;132,914309191656
3139247;1;4;2;6; ; ; ;02;132,914309191656
3139247;1;5;2;4;2;17;1;02;132,914309191656
3139248;1;1;2;2;2;63;1;02;191,801559896591
3139248;1;2;2;2;2;63;1;02;191,801559896591
3139248;1;3;2;2;2;63;1;02;191,801559896591
3139249;1;1;2;6; ; ; ;02;183,78675939429
3139250;1;1;1; ; ; ; ;02;196,306325875481
3139250;1;2;1; ; ; ; ;02;196,306325875481
3139250;1;3;1; ; ; ; ;02;196,306325875481
3139251;1;1;1; ; ; ; ;02;217,489338055298
3139251;1;2;1; ; ; ; ;02;217,489338055298
3139253;1;1;2;6; ; ; ;02;195,850763222137
3139254;1;1;2;6; ; ; ;02;186,934384757039
3139254;1;2;2;6; ; ; ;02;186,934384757039
3139254;1;3;2;6; ; ; ;02;186,934384757039
3139255;1;1;1; ; ; ; ;02;168,442650806833
3139255;1;2;1; ; ; ; ;02;168,442650806833
3139255;1;3;1; ; ; ; ;02;168,442650806833
3139255;1;4;1; ; ; ; ;02;168,442650806833
3139256;1;1;1; ; ; ; ;02;147,330955992278
3139256;1;2;1; ; ; ; ;02;147,330955992278
3139257;1;1;1; ; ; ; ;02;169,695147205195
3139257;1;2;1; ; ; ; ;02;169,695147205195
3139257;1;3;1; ; ; ; ;02;169,695147205195
3139257;1;4;1; ; ; ; ;02;169,695147205195
3139259;1;1;2;6; ; ; ;02;195,850763222137
3139260;1;1;2;6; ; ; ;02;109,582450801186
3139260;1;2;2;6; ; ; ;02;109,582450801186
3139260;1;3;2;6; ; ; ;02;109,582450801186
3139261;1;1;2;6; ; ; ;02;191,801559896591
3139261;1;2;2;6; ; ; ;02;191,801559896591
3139261;1;3;1; ; ; ; ;02;191,801559896591
3139262;1;1;1; ; ; ; ;02;182,847806882359
